nationalites
Afghans
Albanais
Algériens
Allemands
Américains (U.S.)
Angolais
Arméniens
Australiens
Autrichiens
Belges
Bissao-Guinéens
Biélorusses
Bosniaques
Britanniques
Brésiliens
Bulgares
Burkinabés
Burundais
Béninois
Cambodgiens
Camerounais
Canadiens
Cap-Verdiens
Centrafricains
Chiliens
Chinois
Colombiens
Comoriens
Congolais
Cubains
Danois
Dominicains
Dominiquais
Egyptiens
Equatoriens
Espagnols
Ethiopiens
Fidjiens
Français
Gabonais
Ghanéens
Grecs
Guatémaltèques
Guinéens
Haïtiens
Hongrois
Indiens
Indonésiens
Iraniens
Irlandais
Israéliens
Italiens
Ivoiriens
Japonais
Jordaniens
Libanais
Libyens
Lituaniens
Luxembourgeois
Malaisiens
Malgaches
Maliens
Marocains
Mauriciens
Mauritaniens
Mexicains
Monténégrins
Nigérians
Nigériens
Néerlandais
Népalais
Pakistanais
Palestiniens
Paraguayens
Philippins
Polonais
Portugais
Péruviens
Roumains
Russes
Saint-Luciens
Serbes
Slovaques
Somaliens
Soudanais (2010)
Sri-Lankais
Sud-Africains
Sud-Coréens
Suisses
Surinamais
Suédois
Syriens
Sénégalais
Tchèques
Thaïlandais
Togolais
Tunisiens
Turcs
Ukrainiens
Uruguayens
Vietnamiens
Vénézuéliens
Zaïrois
Croates
Honduriens
Moldaves
Néo-Zélandais
Sierra-Léonais
Tchadiens
Argentins
Bangladais
Djiboutiens
Laotiens
Finlandais
Géorgiens
Iraquiens
Jamaïcains
Lettons
Libériens
Panaméens
Seychellois
Yéménites
Zimbabwéens
Erythréens
Sahariens
Boliviens
Gambiens
Kényans
Mongols
Mozambicains
Rwandais
Slovènes
Maltais
Ouzbeks
Azerbaïdjanais
Chypriotes
Kazakhs
Macédoniens
Norvégiens
Singapouriens
Monégasques
Tonguiens
Turkmènes
Birmans
Costaricains
Barbadiens
Guyaniens
Andorrans
Nicaraguayens
Papouan neo guinéens
Trinidadiens
Koweïtiens
Ougandais
Saint-Marinais
Saoudiens
Taiwanais
Liechtensteinois
Vanuatuans
Maldiviens
Salvadoriens
Estoniens
Islandais
Tanzaniens
Zambiens
Bhoutanais
Santoméens
Tadjiks
Equato-Guinéens
Kirghiz
Antiguais et Barbudiens
Namibiens
Botswanéens
Emiriens
Brunéiens
Saint-Vincentais et Grenadins
Samoans
Grenadiens
Malawiens
Micronésiens
Nord-Coréens
Omanais
Qatariens
Sud-soudanais
Swazis
Salomonais
Bahamiens
Bahreïniens
Béliziens
Lesothans
Nauruans
Palauans
Timoriens
Tuvaluans
Kittitiens et Néviciens
Marshallais
